ID,Prediction
1,0.06
2,0.0
3,0.07
4,0.32
5,0.01
6,0.03
7,0.0
8,0.61
9,0.43
10,0.79
11,0.01
12,0.14
13,0.18
14,0.96
15,0.0
16,0.1
17,0.0
18,0.53
19,0.64
20,0.0
21,0.09
22,0.17
23,0.97
24,0.96
25,0.03
26,0.24
27,0.0
28,0.0
29,0.03
30,0.09
31,0.0
32,0.01
33,0.0
34,0.0
35,0.32
36,0.28
37,0.0
38,0.4
39,0.04
40,0.64
41,0.76
42,0.08
43,0.98
44,0.1
45,0.0
46,0.0
47,0.04
48,0.53
49,0.01
50,0.07
51,0.0
52,0.13
53,0.61
54,0.61
55,0.93
56,0.15
57,0.15
58,0.24
59,0.22
60,0.49
61,0.0
62,0.46
63,0.06
64,0.0
65,0.0
66,0.01
67,0.98
68,0.04
69,0.0
70,0.0
71,0.0
72,0.47
73,0.0
74,0.04
75,0.31
76,0.0
77,0.0
78,0.19
79,0.88
80,0.0
81,0.05
82,0.02
83,0.02
84,0.0
85,0.22
86,0.94
87,0.05
88,0.0
89,0.13
90,0.89
91,0.58
92,0.71
93,0.01
94,0.0
95,0.28
96,0.85
97,0.0
98,0.0
99,0.09
100,0.32
101,0.94
102,0.11
103,0.02
104,0.35
105,0.79
106,0.02
107,0.03
108,0.0
109,0.98
110,0.05
111,0.0
112,0.05
113,0.0
114,0.01
115,0.71
116,0.02
117,0.0
118,0.0
119,0.1
120,0.05
121,0.86
122,0.0
123,0.86
124,0.5066666666666667
125,1.0
126,0.0
127,0.16
128,0.3
129,0.15
130,0.06
131,0.8
132,0.2
133,0.9
134,0.76
135,0.19
136,0.01
137,0.01
138,0.0
139,0.18
140,0.0
141,0.4
142,0.0
143,0.0
144,0.15
145,0.03
146,0.53
147,0.06
148,0.13
149,0.5
150,0.01
151,0.67
152,0.77
153,0.13
154,0.01
155,0.18
156,0.67
157,0.37
158,0.0
159,0.01
160,0.11
161,0.96
162,0.27
163,0.0
164,0.0
165,0.07
166,0.52
167,0.27
168,0.12
169,0.0
170,0.0
171,0.94
172,0.0
173,0.25
174,0.0
175,0.17
176,0.43
177,0.04
178,0.19
179,0.0
180,0.01
181,0.64
182,0.19
183,0.0
184,0.04
185,0.0
186,0.0
187,0.02
188,0.07
189,0.0
190,0.0
191,0.02
192,0.45
193,0.31
194,0.62
195,0.1
196,0.0
197,0.93
198,0.02
199,0.69
200,0.04
201,0.0
202,0.31
203,0.0
204,0.01
205,0.0
206,0.6
207,0.04
208,0.02
209,0.39
210,0.03
211,0.01
212,0.17
213,0.04
214,0.01
215,0.0
216,0.95
217,0.02
218,0.14
219,0.0
220,0.98
221,0.36
222,0.0
223,0.0
224,0.98
225,0.82
226,0.0
227,0.02
228,0.06
229,0.0
230,0.45
231,0.78
232,0.07
233,0.57
234,0.28
235,0.83
236,0.57
237,0.22
238,0.18
239,0.21
240,0.01
241,0.5
242,0.0
243,0.02
244,0.09
245,0.0
246,0.82
247,0.0
248,0.95
249,0.84
250,0.48
251,0.0
252,0.11
253,0.0
254,0.0
255,0.15
256,0.0
257,0.34
258,0.97
259,0.69
260,0.0
261,0.01
262,0.58
263,0.01
264,0.0
265,0.05
266,0.0
267,0.01
268,0.77
269,0.26
270,0.0
271,0.9
272,0.0
273,0.01
274,0.07
275,0.21
276,0.12
277,0.1
278,0.01
279,0.01
280,0.13
281,0.91
282,0.09
283,0.04
284,0.02
